000001.bmp,197,258,330.5,403.5,F-单根牙-a
000001.bmp,336,481,336.5,481.5,0
000001.bmp,437,375,437.5,375.5,0
000001.bmp,472,456,472.5,456.5,0
000001.bmp,477,536,477.5,536.5,0
000001.bmp,347,521,347.5,521.5,0
000002.bmp,429,441,429.5,441.5,0
000002.bmp,451,475,451.5,475.5,0
000002.bmp,-134,0,-134,83,0
000002.bmp,659,563,659.5,563.5,0
000001.bmp,331,413,331.5,413.5,0
000001.bmp,681,458,681.5,458.5,0
000002.bmp,379,303,379.5,303.5,0
000002.bmp,399,468,399.5,468.5,0
000003.bmp,549,403,549.5,403.5,0
000003.bmp,641,540,641.5,540.5,0
000001.bmp,284,453,284.5,453.5,0
000001.bmp,721,520,721.5,520.5,0
000003.bmp,267,416,267.5,416.5,F-单根牙-a
000003.bmp,322,478,322.5,478.5,F-单根牙-b
000001.bmp,765,486,765.5,486.5,1
000001.bmp,710,480,710.5,480.5,F-单根牙-a
000001.bmp,622,448,702.5,565.5,F-单根牙-b
000003.bmp,932,431,932.5,431.5,F-单根牙-a
000003.bmp,870,466,870.5,466.5,C-a
000003.bmp,802,463,802.5,463.5,F-磨牙-a
000003.bmp,760,528,760.5,528.5,F-磨牙-b
000003.bmp,704,508,704.5,508.5,A
000003.bmp,675,563,675.5,563.5,1
000001.bmp,785,500,785.5,500.5,1
000001.bmp,712,465,712.5,465.5,0
000001.bmp,664,508,664.5,508.5,F-单根牙-b
000003.bmp,935,435,935.5,435.5,0
000003.bmp,877,468,877.5,468.5,C-c
000003.bmp,807,458,807.5,458.5,D-a
000003.bmp,752,490,752.5,490.5,F-单根牙-a
000003.bmp,710,538,710.5,538.5,A
000003.bmp,665,550,665.5,550.5,F-磨牙-b
000003.bmp,632,500,632.5,500.5,H-a
000003.bmp,557,508,557.5,508.5,B
000003.bmp,510,561,510.5,561.5,B
000003.bmp,469,541,469.5,541.5,B
000003.bmp,417,531,417.5,531.5,B
000003.bmp,389,448,389.5,448.5,B
000003.bmp,302,466,302.5,466.5,B
000003.bmp,277,420,277.5,420.5,B
000001.bmp,777,495,777.5,495.5,B
000001.bmp,709,466,709.5,466.5,G
000001.bmp,502,496,502.5,496.5,C-a
000001.bmp,364,483,364.5,483.5,F-磨牙-a
000001.bmp,774,495,774.5,495.5,F-磨牙-a
000001.bmp,529,573,529.5,573.5,F-磨牙-a
000001.bmp,441,556,441.5,556.5,F-磨牙-a
000001.bmp,444,473,444.5,473.5,0
000002.bmp,549,311,549,311,0,18
000001.bmp,796,496,795.77778,495.77778,0,31
000001.bmp,712,512,711.77778,511.77778,0,31
000001.bmp,672,536,671.77778,535.77778,0,31
000001.bmp,1020,420,1019.77778,419.77778,0,18
000001.bmp,821,463,820.77778,462.77778,0,18
F0820081106.bmp.bmp,711,558,710.77778,557.77778,0,18
F0820081106.bmp.bmp,617,564,616.77778,563.77778,0,18
F0820081106.bmp.bmp,560,587,559.77778,586.77778,0,18
M100061205.bmp.bmp,583,507,583,507,H-a,41
M100061205.bmp.bmp,708,491,708,491,C-c,33
M100061205.bmp.bmp,385,458,385,458,C-c,46
F0820081106.bmp.bmp,759,539,759,539,0,18
M100061205.bmp.bmp,704,495,704,495,0,18
M100061205.bmp.bmp,765,488,765,488,0,18
M100061205.bmp.bmp,697,534,697,534,0,18
M100061205.bmp.bmp,664,564,664,564,0,18
F0320130519.bmp.bmp,1472,94,1472,94,0,18
F0320130519.bmp.bmp,912,312,912,312,0,18
F0320130519.bmp.bmp,667,418,667,418,0,18
F0320130519.bmp.bmp,1446,88,1501,116,0,18
F0320130519.bmp.bmp,538,534,538,534,F-单根牙-a,41
F0320130519.bmp.bmp,659,506,659,506,F-磨牙-b,33
F0820081106.bmp.bmp,452,487,452,487,B,15
F0820081106.bmp.bmp,655,562,655,562,B,35
F0320130519.bmp.bmp,663,467,662.77778,466.77778,0,18
F0320130519.bmp.bmp,502,533,501.77778,532.77778,0,17
F0320130519.bmp.bmp,333,472,332.77778,471.77778,0,16
F0320130519.bmp.bmp,424,316,423.77778,315.77778,0,15
F0320130519.bmp.bmp,664,342,663.77778,341.77778,0,14
F0320130519.bmp.bmp,780,522,779.77778,521.77778,0,13
F0320130519.bmp.bmp,416,376,415.77778,375.77778,0,12
F0320130519.bmp.bmp,473,260,472.77778,259.77778,0,11
F0320130519.bmp.bmp,611,251,610.77778,254.77778,0,21
F0320130519.bmp.bmp,681,364,681.77778,363.77778,0,22
F0320130519.bmp.bmp,521,398,520.77778,397.77778,0,23
F0320130519.bmp.bmp,286,330,285.77778,329.77778,0,24
F0320130519.bmp.bmp,326,232,325.77778,231.77778,0,25
F0320130519.bmp.bmp,491,154,490.77778,153.77778,0,26
F0320130519.bmp.bmp,636,291,635.77778,290.77778,0,27
F0320130519.bmp.bmp,672,416,671.77778,415.77778,0,28
F0320130519.bmp.bmp,441,361,440.77778,360.77778,0,48
F0320130519.bmp.bmp,442,222,441.77778,221.77778,0,47
F0320130519.bmp.bmp,617,206,616.77778,205.77778,0,46
F0320130519.bmp.bmp,726,321,725.77778,321.77778,0,45
F0320130519.bmp.bmp,808,436,807.77778,435.77778,0,44
F0320130519.bmp.bmp,644,412,643.77778,411.77778,0,43
F0320130519.bmp.bmp,561,277,560.77778,276.77778,0,42
F0320130519.bmp.bmp,567,166,566.77778,165.77778,0,41
F0320130519.bmp.bmp,817,192,816.77778,191.77778,0,31
F0320130519.bmp.bmp,898,333,897.77778,332.77778,0,32
F0320130519.bmp.bmp,958,431,957.77778,430.77778,0,33
F0320130519.bmp.bmp,674,340,673.77778,339.77778,0,34
F0320130519.bmp.bmp,547,236,546.77778,235.77778,0,35
F0320130519.bmp.bmp,580,148,579.77778,147.77778,0,36
F0320130519.bmp.bmp,870,200,869.77778,199.77778,0,37
F0320130519.bmp.bmp,924,366,923.77778,365.77778,0,38
F0320130519.bmp.bmp,788,541,787.77778,540.77778,0,18
F0320130519.bmp.bmp,734,416,733.77778,415.77778,0,17
F0320130519.bmp.bmp,563,500,562.77778,499.77778,0,16
F0320130519.bmp.bmp,396,500,395.77778,499.77778,0,15
F0320130519.bmp.bmp,378,413,377.77778,412.77778,0,14
F0320130519.bmp.bmp,522,453,521.77778,452.77778,0,13
F0320130519.bmp.bmp,373,346,372.77778,345.77778,0,18
F0320130519.bmp.bmp,421,400,420.77778,399.77778,0,17
F0320130519.bmp.bmp,464,424,463.77778,423.77778,0,16
F0320130519.bmp.bmp,4,7,11,35,H-a,11
F0320130519.bmp.bmp,3,0,3,0,0,17
F0320130519.bmp.bmp,22,18,22,18,0,16
F0320130519.bmp.bmp,48,54,48,54,0,15
F0320130519.bmp.bmp,828,500,828,500,H-a,14
F0320130519.bmp.bmp,60,6,60,6,H-a,13
F0320130519.bmp.bmp,676,209,676,209,H-a,12
F0820081106.bmp.bmp,13,21,13,21,H-a,11
F0820081106.bmp.bmp,2,1,23,29,H-a,28
F0820081106.bmp.bmp,0,5,0,5,H-a,22
F0820081106.bmp.bmp,0,3,0,3,H-a,23
F0820081106.bmp.bmp,0,231,0,231,H-a,24
F0820081106.bmp.bmp,0,576,0,576,H-a,25
F0820081106.bmp.bmp,649,2,649,2,H-a,26
F0820081106.bmp.bmp,641,0,641,0,H-a,27
IMG_3187.JPG.bmp,416,516,416,516,0,28
.bmp,390,633,390,633,undefined,18
.bmp,1388,142,1388,142,undefined,17
F0320130519.bmp.bmp,221,150,221,150,0,16
F0320130519.bmp.bmp,408,181,408,181,0,15
IMG_3187.JPG.bmp,400,368,
F0320130519.bmp.bmp,873,508,873.5,508.5,0,18
F0820081106.bmp.bmp,748,480,748.5,480.5,0,17
F0820081106.bmp.bmp,738,548,738.5,548.5,0,16
F0820081106.bmp.bmp,485,453,485.5,453.5,0,15
F0820081106.bmp.bmp,378,250,378.5,250.5,0,14
F0820081106.bmp.bmp,566,205,582.5,205.5,0,13
F0820081106.bmp.bmp,790,348,790.5,518.5,0,12
F0820081106.bmp.bmp,785,603,785.5,608.5,0,11
F0820081106.bmp.bmp,446,491,446.5,491.5,0,21
F0820081106.bmp.bmp,408,150,440.5,150.5,0,22
F0820081106.bmp.bmp,483,108,613.5,108.5,0,23
F0820081106.bmp.bmp,720,128,778.5,234.5,0,24
F0820081106.bmp.bmp,790,328,790.5,480.5,0,25
F0820081106.bmp.bmp,605,498,605.5,499.5,0,26
F0820081106.bmp.bmp,386,296,386.5,296.5,0,27
F0820081106.bmp.bmp,390,105,507.5,112.5,0,28
F0820081106.bmp.bmp,598,173,699.5,305.5,0,48
F0820081106.bmp.bmp,768,438,768.5,519.5,0,47
F0820081106.bmp.bmp,578,481,578.5,481.5,0,46
F0820081106.bmp.bmp,410,248,410.5,248.5,0,45
F0820081106.bmp.bmp,423,183,710.5,300.5,0,44
F0820081106.bmp.bmp,783,343,784.5,443.5,0,43
F0820081106.bmp.bmp,736,511,736.5,513.5,0,42
F0820081106.bmp.bmp,563,498,563.5,498.5,0,41
F0820081106.bmp.bmp,453,490,453.5,490.5,0,31
F0820081106.bmp.bmp,290,363,290.5,363.5,0,32
F0820081106.bmp.bmp,288,516,288.5,516.5,0,33
F0820081106.bmp.bmp,773,501,773.5,501.5,0,34
F0820081106.bmp.bmp,618,626,618.5,626.5,0,35
F0820081106.bmp.bmp,721,385,721.5,385.5,0,36
F0820081106.bmp.bmp,750,568,750.5,570.5,0,37
F0820081106.bmp.bmp,558,696,558.5,696.5,0,38
F0820081106.bmp.bmp,923,606,923.5,606.5,0,38
F0320130519.bmp.bmp,1103,573,1103.5,573.5,0,18
F0320130519.bmp.bmp,716,343,716.5,343.5,0,17
F0320130519.bmp.bmp,310,658,310.5,658.5,0,16
F0320130519.bmp.bmp,328,356,328.5,356.5,0,15
F0320130519.bmp.bmp,603,176,603.5,176.5,0,14
F0320130519.bmp.bmp,1400,253,1400.5,253.5,0,13
F0320130519.bmp.bmp,558,610,558.5,610.5,0,12
F0320130519.bmp.bmp,988,370,988.5,370.5,0,11
F0320130519.bmp.bmp,1136,673,1136.5,673.5,0,21
F0320130519.bmp.bmp,638,478,638.5,478.5,0,22
F0320130519.bmp.bmp,1045,183,1045.5,183.5,0,23
F0320130519.bmp.bmp,1246,456,1246.5,456.5,0,24
F0320130519.bmp.bmp,700,593,700.5,593.5,0,25
F0320130519.bmp.bmp,443,431,443.5,431.5,0,26
F0320130519.bmp.bmp,915,431,915.5,431.5,0,27
F0320130519.bmp.bmp,935,606,935.5,606.5,0,28
F0320130519.bmp.bmp,685,410,685.5,410.5,0,48
F0320130519.bmp.bmp,1066,275,1066.5,275.5,0,47
F0320130519.bmp.bmp,1243,441,1243.5,441.5,0,46
F0320130519.bmp.bmp,850,296,850.5,296.5,0,45
F0320130519.bmp.bmp,1210,216,1210.5,216.5,0,44
F0320130519.bmp.bmp,841,188,841.5,188.5,0,43
F0320130519.bmp.bmp,628,290,628.5,290.5,0,42
F0320130519.bmp.bmp,1168,498,1168.5,498.5,0,41
F0320130519.bmp.bmp,446,226,446.5,226.5,0,31
F0320130519.bmp.bmp,193,478,193.5,478.5,0,32
F0320130519.bmp.bmp,243,298,243.5,298.5,0,33
F0320130519.bmp.bmp,1000,463,1000.5,463.5,0,34
F0320130519.bmp.bmp,953,228,953.5,228.5,0,35
F0320130519.bmp.bmp,1128,303,1128.5,303.5,0,36
F0320130519.bmp.bmp,700,438,700.5,438.5,0,37
F0320130519.bmp.bmp,801,550,801.5,550.5,0,38
F0320130519.bmp.bmp,1013,653,1013.5,653.5,0,18
F0320130519.bmp.bmp,608,403,608.5,403.5,0,18
F0320130519.bmp.bmp,851,256,851.5,256.5,0,17
F0320130519.bmp.bmp,961,473,961.5,473.5,0,16
F0320130519.bmp.bmp,720,535,720.5,535.5,0,15
F0320130519.bmp.bmp,720,375,720.5,375.5,0,18
F0320130519.bmp.bmp,210,345,210.5,345.5,0,17
F0320130519.bmp.bmp,355,610,355.5,610.5,0,16
F0320130519.bmp.bmp,848,393,848.5,393.5,0,15
F0320130519.bmp.bmp,616,323,616.5,323.5,0,18
F0320130519.bmp.bmp,943,428,943.5,428.5,0,17
F0320130519.bmp.bmp,566,548,566.5,548.5,0,16
F0320130519.bmp.bmp,428,211,428.5,211.5,0,15
F0320130519.bmp.bmp,766,168,813.5,168.5,0,14
F0320130519.bmp.bmp,1005,208,1023.5,215.5,0,13
F0320130519.bmp.bmp,890,568,0,18
F0320130519.bmp.bmp,1008,578,0,17
F0320130519.bmp.bmp,1073,518,0,16
F0320130519.bmp.bmp,5,8,0,15
20200802.jpg.bmp,976,573,0,18
20200802.jpg.bmp,1600,612,0,17
20200802.jpg.bmp,9,7,0,16
20200802.jpg.bmp,689,673,0,15
20200802.jpg.bmp,1232,535,E-单根牙-a,14
20200802.jpg.bmp,1048,717,E-单根牙-a,13
.bmp,736,379,undefined,17
20200802.jpg.bmp,835,473,0,16
20200802.jpg.bmp,352,521,0,15
20200802.jpg.bmp,1071,319,0,14
20200802.jpg.bmp,475,409,0,13
20200802.jpg.bmp,828,313,0,12
20200802.jpg.bmp,1047,417,0,11
20200802.jpg.bmp,395,365,0,21
20200802.jpg.bmp,1291,585,0,22
20200802.jpg.bmp,689,720,0,23
20200802.jpg.bmp,600,592,0,24
20200802.jpg.bmp,1057,659,0,25
20200802.jpg.bmp,1260,292,0,26
20200802.jpg.bmp,760,455,0,27
20200802.jpg.bmp,207,819,0,28
20200802.jpg.bmp,775,428,0,48
20200802.jpg.bmp,521,325,0,47
20200802.jpg.bmp,900,545,0,46
20200802.jpg.bmp,308,599,0,45
20200802.jpg.bmp,812,613,0,44
20200802.jpg.bmp,456,708,0,43
20200802.jpg.bmp,761,740,0,42
20200802.jpg.bmp,607,540,0,41
20200802.jpg.bmp,892,267,0,31
20200802.jpg.bmp,1029,485,0,32
20200802.jpg.bmp,0,0,0,35
20200802.jpg.bmp,824,529,0,33
20200802.jpg.bmp,1064,539,0,34
20200802.jpg.bmp,909,735,0,35
20200802.jpg.bmp,1104,739,0,38
20200802.jpg.bmp,1004,785,0,37
20200802.jpg.bmp,1125,627,0,38
20200802.jpg.bmp,983,609,0,38
20200802.jpg.bmp,1104,739,0,38
M100061205.bmp.bmp,534,544,0,38
M100061205.bmp.bmp,755,560,0,38
IMG_3187.JPG.bmp,393,547,0,38
IMG_3187.JPG.bmp,307,517,0,18
IMG_3187.JPG.bmp,18,256,0,18
IMG_3187.JPG.bmp,324,466,0,18
IMG_3187.JPG.bmp,118,558,0,18
IMG_3187.JPG.bmp,219,478,0,18
IMG_3187.JPG.bmp,277,296,0,18
M100061205.bmp.bmp,216,280,0,18
M100061205.bmp.bmp,475,392,0,18
IMG_3187.JPG.bmp,370,469,0,18
IMG_3187.JPG.bmp,199,537,0,18
IMG_3187.JPG.bmp,182,686,0,18
IMG_3187.JPG.bmp,175,383,0,18
IMG_3187.JPG.bmp,143,600,0,18
IMG_3187.JPG.bmp,237,488,0,18
IMG_3187.JPG.bmp,298,715,0,18
IMG_3187.JPG.bmp,411,648,0,18
IMG_3187.JPG.bmp,143,291,0,18
IMG_3187.JPG.bmp,136,525,0,18
IMG_3183.JPG.bmp,764,724,0,18
IMG_3183.JPG.bmp,811,399,0,18
IMG_3183.JPG.bmp,1001,588,0,18
